sample_id,before_curve_type,after_curve_type,before_query_type,after_query_type,query_type_changed,before_reasoning_success,after_reasoning_success,reasoning_transition,before_final_answer_correct,after_final_answer_correct,correctness_transition,before_failure_reason,after_failure_reason,before_reasoning_failure_reason,after_reasoning_failure_reason,before_num_steps,after_num_steps,num_steps_delta,before_first_model,after_first_model,before_last_model,after_last_model,before_model_sequence_len,after_model_sequence_len,model_sequence_changed,model_sequence_lcp,new_model_ids_after,removed_model_ids_after,after_repeated_model_loop,expected_answer,before_predicted_answer,after_predicted_answer,query,facts,before_model_sequence,after_model_sequence
5633,Ellipse,Ellipse,Area,Area,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,56,56,56,56,1,1,False,1,,,False,25*sqrt(3)/4,68.0175,68.0175,"Area(TriangleOf(F1, P, F2))","G: Ellipse;F1: Point;P: Point;F2: Point;Expression(G) = (x^2/25 + y^2/(75/4) = 1);PointOnCurve(P, G);Focus(G)={F1,F2};AngleOf(F1, P, F2) = ApplyUnit(60, degree)",56,56
5645,Hyperbola,Hyperbola,Value,Value,False,True,True,success->success,True,True,correct->correct,none,none,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,pm*2,pm*2,pm*2,a,G: Hyperbola;a: Real;Expression(G) = (x^2/2 - y^2/a^2 = 1);Expression(OneOf(Asymptote(G))) = (y = sqrt(2)*x),21,21
5674,Ellipse,Ellipse,Range,Range,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,13,13,13,13,15,15,False,15,,,True,"(0,2]+[8,+oo)","(0, 4)+(4, +oo)","(0, 4)+(4, +oo)",Range(m),"G: Ellipse;m: Number;e:Number;Expression(G) = (x^2/4 + y^2/m = 1);Eccentricity(G)=e;Range(e)=[sqrt(2)/2,1)",13 13 13 13 13 13 13 13 13 13 13 13 13 13 13,13 13 13 13 13 13 13 13 13 13 13 13 13 13 13
5677,Hyperbola,Hyperbola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,"{7,-2}",m: Number,m: Number,m,"G: Hyperbola;m: Number;Expression(G) = (-y^2/(m - 5) + x^2/m = 1);Distance(OneOf(Focus(G)),Center(G))=3",13,13
5687,Hyperbola,Hyperbola,Coordinate,Coordinate,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,21,21,13,13,15,15,False,15,,,False,"(-2, 0)",Coordinate(LeftFocus(G)) not found,Coordinate(LeftFocus(G)) not found,Coordinate(LeftFocus(G)),G: Hyperbola;Expression(G) = (x^2/3 - y^2 = 1),21 21 21 21 21 21 21 21 21 13 13 13 13 13 13,21 21 21 21 21 21 21 21 21 13 13 13 13 13 13
5702,Ellipse,Ellipse,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,75,75,62,62,15,15,False,15,,,False,6,Min not found,Min not found,"Min(DotProduct(VectorOf(P, A), VectorOf(P, B)) + DotProduct(VectorOf(P, C), VectorOf(P, D)))","G: Ellipse;M: Circle;N: Circle;l1: Line;l2: Line;P: Point;A: Point;B: Point;C: Point;D: Point;Expression(G) = (x^2/3 + y^2/4 = 1);Expression(M) = (x^2 + (y - 1)^2 = 1);Expression(N) = (x^2 + (y + 1)^2 = 1);PointOnCurve(M1, l1);PointOnCurve(N1, l2);Intersection(l1, M) = {A, B};Intersection(l2, N) = {C, D};PointOnCurve(P, G);M1: Point;N1: Point;Center(M) = M1;Center(N) = N1",75 75 75 75 75 75 62 62 62 62 62 62 62 62 62,75 75 75 75 75 75 62 62 62 62 62 62 62 62 62
5711,Parabola,Parabola,Value,Value,False,False,True,failure->success,False,True,wrong->correct,max_steps,none,max_steps,none,15,15,0,2,2,29,29,15,15,False,15,,,True,7,Min not found,7,"Min(Abs(LineSegmentOf(P, A)) + Abs(LineSegmentOf(P, F)))","G: Parabola;P: Point;A: Point;F: Point;Expression(G) = (y^2 = 4*x);Coordinate(A) = (6, 3);Focus(G) = F;PointOnCurve(P, G)",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
5741,Parabola,Parabola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,29,29,63,63,15,15,False,15,,,False,-8,a: Number,a: Number,a,G: Parabola;Expression(G) = (x^2 = 2*(a*y));a: Number;Expression(Directrix(G)) = (y = 4),29 29 29 29 29 29 29 29 63 63 63 63 63 63 63,29 29 29 29 29 29 29 29 63 63 63 63 63 63 63
5755,Hyperbola,Hyperbola,Distance,Distance,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,1,1,56,56,15,15,False,15,,,False,5,3,3,"Distance(P, F2)","G: Hyperbola;P: Point;Expression(G) = (x^2 - y^2/15 = 1);PointOnCurve(P, G);F1:Point;F2:Point;OneOf(Focus(G))=F1;OneOf(Focus(G))=F2;Negation(F1=F2);Distance(P, F1) = 3",1 1 1 1 1 1 1 1 1 1 56 56 56 56 56,1 1 1 1 1 1 1 1 1 1 56 56 56 56 56
5810,Parabola,Parabola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,2,2,2,2,15,15,False,15,,,True,x^2 = 2*y - 1,No equation found,No equation found,Expression(C),"C: Parabola;F: Point;Coordinate(F) = (0, 1);Focus(C) = F;Directrix(C) = xAxis",2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
5824,Parabola,Parabola,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,2,2,29,29,15,15,False,15,,,True,8,"Abs(LineSegmentOf(A, B)) not found","Abs(LineSegmentOf(A, B)) not found","Abs(LineSegmentOf(A, B))","l: Line;G: Parabola;M: Point;O: Origin;A: Point;B: Point;F: Point;t:Number;Expression(G) = (y^2 = 4*x);Coordinate(M) = (t, 2);Quadrant(M) = 1;Focus(G) = F;PointOnCurve(F, l);Intersection(l, G) = {A, B};VectorOf(O, M) = (VectorOf(O, A) + VectorOf(O, B))/2",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
5850,Parabola,Parabola,Distance,Distance,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,2,2,29,29,15,15,False,15,,,True,5*sqrt(3),Min not found,Min not found,"Min(Distance(M, P))","G: Parabola;M: Point;P: Point;Expression(G) = (y^2 = 10*x);Coordinate(M) = (10, 0);PointOnCurve(P, G)",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
5854,Hyperbola,Hyperbola,Distance,Distance,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,7,7,0,1,1,13,13,7,7,False,7,,,True,32/5,8,8,"Distance(P, RightDirectrix(G))","G: Hyperbola;P: Point;Expression(G) = (x^2/64 - y^2/36 = 1);PointOnCurve(P, G);Distance(P, RightFocus(G)) = 8",1 1 1 1 1 1 13,1 1 1 1 1 1 13
5868,Hyperbola,Hyperbola,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,1,1,1,1,15,15,False,15,,,True,1/2,"Expression 'Abs(LineSegmentOf(P, M))/Abs(LineSegmentOf(P, F))' not found","Expression 'Abs(LineSegmentOf(P, M))/Abs(LineSegmentOf(P, F))' not found","Abs(LineSegmentOf(P, M))/Abs(LineSegmentOf(P, F))","G: Hyperbola;P: Point;F: Point;O: Origin;M: Point;Expression(G) = (x^2 - y^2/4 = 1);RightFocus(G) = F;H:Line;PointOnCurve(F,H);IsParallel(H,OneOf(Asymptote(G)));Intersection(H,G)=P;PointOnCurve(M,LineOf(P,F));DotProduct(VectorOf(O, M), VectorOf(P, F)) = 0",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
5876,Hyperbola,Hyperbola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,1,1,62,62,15,15,False,15,,,False,y = pm*(2*sqrt(3)/3)*x,y=pm*sqrt(m/n)*x,y=pm*sqrt(m/n)*x,Expression(Asymptote(G)),"G: Hyperbola;m: Number;n: Number;H: Circle;F1: Point;F2: Point;A: Point;P: Point;B: Point;Expression(G) = (m*x^2 - n*y^2 = 1);LeftVertex(G) = A;RightVertex(G) = B;LeftFocus(G) = F1;RightFocus(G) = F2;PointOnCurve(P, Asymptote(G));IsDiameter(LineSegmentOf(F1, F2), H);PointOnCurve(P, H);AngleOf(A, P, B) = pi/3",1 1 1 1 1 62 62 62 62 62 62 62 62 62 62,1 1 1 1 1 62 62 62 62 62 62 62 62 62 62
5903,Ellipse,Ellipse,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,6,"Abs(LineSegmentOf(A, B)) not found","Abs(LineSegmentOf(A, B)) not found","Abs(LineSegmentOf(A, B))","G: Ellipse;H: Line;A: Point;F2: Point;B: Point;F1: Point;Expression(G) = (x^2/25 + y^2/16 = 1);Focus(G)={F1,F2};PointOnCurve(F1, H);Intersection(H, G) = {A, B};Abs(LineSegmentOf(A, F2)) - Abs(LineSegmentOf(B, F1)) = 4",13,13
5946,Parabola,Parabola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,29,29,62,62,15,15,False,15,,,False,sqrt(2),m: Number,m: Number,m,"l: Line;C: Parabola;A: Point;F: Point;B: Point;O: Origin;m:Number;Expression(C) = (y^2 = 2*x);Focus(C) = F;Expression(l)=(y=m*(2*x-1));Intersection(l, C) = {A, B};Quadrant(A)=1;Abs(LineSegmentOf(A, F)) = 2*Abs(LineSegmentOf(B, F))",29 29 29 29 29 29 29 29 29 62 62 62 62 62 62,29 29 29 29 29 29 29 29 29 62 62 62 62 62 62
5972,Ellipse,Ellipse,Distance,Distance,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,47,47,47,47,15,15,False,15,,,True,4*sqrt(6)/3,Distance not found,Distance not found,"Distance(F1, F2)","Gamma: Ellipse;A: Point;B: Point;C: Point;F1: Point;F2: Point;MajorAxis(Gamma) = LineSegmentOf(A, B);PointOnCurve(C, Gamma);AngleOf(C, B, A) = pi/4;LineSegmentOf(A, B) = 4;LineSegmentOf(B, C) = sqrt(2);Focus(Gamma) = {F1, F2}",47 47 47 47 47 47 47 47 47 47 47 47 47 47 47,47 47 47 47 47 47 47 47 47 47 47 47 47 47 47
5974,Parabola,Parabola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,29,29,63,63,15,15,False,15,,,False,4,a: Number,a: Number,a,C: Parabola;a: Number;Expression(C) = (y^2 = a*x);Expression(Directrix(C)) = (x = -1),29 29 29 29 29 29 29 29 63 63 63 63 63 63 63,29 29 29 29 29 29 29 29 63 63 63 63 63 63 63
5988,Ellipse,Ellipse,Eccentricity,Eccentricity,False,True,True,success->success,True,True,correct->correct,none,none,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,sqrt(3)/2,sqrt(3)/2,sqrt(3)/2,Eccentricity(G),G: Ellipse;Expression(G) = (x^2/4 + y^2 = 1),13,13
5992,Ellipse,Ellipse,Length,Length,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,0,0,0,0,15,15,False,15,,,True,10,Length(MajorAxis) not found,Length(MajorAxis) not found,Length(MajorAxis(G)),G: Ellipse;Expression(G) = (x^2/9 + y^2/25 = 1),0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6002,Hyperbola,Hyperbola,Equation,Equation,False,False,False,failure->failure,False,False,wrong->wrong,no_model,no_model,no_model,no_model,0,0,0,none,none,none,none,0,0,False,0,,,False,x^2/16 - y^2/9 = 1,,,Expression(G),G: Hyperbola;Expression(Asymptote(G)) = (3*x + pm*4*y = 0),,
6011,Hyperbola,Hyperbola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,x + pm*y = 0,y=pm*(b/a)*x,y=pm*(b/a)*x,Expression(Asymptote(C)),"C: Hyperbola;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a>0;b>0;F: Point;RightFocus(C) = F;H: Line;PointOnCurve(F,H) = True;IsPerpendicular(H,xAxis) = True;Intersection(H,C) = {A,B};A: Point;B: Point;IsDiameter(LineSegmentOf(A,B),G) = True;G: Circle;IsTangent(G,Asymptote(C)) = True",21,21
6022,Ellipse,Ellipse,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,x^2/10-y^2/15=1,Expression(H) = (x^2/25 + y^2/15 = 1),Expression(H) = (x^2/25 + y^2/15 = 1),Expression(G),G: Hyperbola;H: Ellipse;Expression(H) = (x^2/25 + y^2/15 = 1);Vertex(H)=Focus(G);Focus(H)=Vertex(G),21,21
6032,Parabola,Parabola,Coordinate,Coordinate,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,53,53,62,62,15,15,False,15,,,True,"(1, 2)",Coordinate(P) not found,Coordinate(P) not found,Coordinate(P),"P: Point;PointOnCurve(P, G);G: Parabola;Expression(G) = (y = 2*x^2);l: Line;Expression(l) = (4*x - y - 6 = 0);WhenMin(Distance(P, l))",53 53 62 62 62 62 62 62 62 62 62 62 62 62 62,53 53 62 62 62 62 62 62 62 62 62 62 62 62 62
6073,Ellipse,Ellipse,Area,Area,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,56,56,56,56,1,1,False,1,,,False,16,62.8319,62.8319,"Area(TriangleOf(F1, P, F2))","G: Ellipse;F1: Point;P: Point;F2: Point;Expression(G) = (x^2/25 + y^2/16 = 1);PointOnCurve(P, G);Focus(G)={F1,F2};AngleOf(F1, P, F2) = ApplyUnit(90, degree)",56,56
6080,Parabola,Parabola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,2,2,62,62,15,15,False,15,,,True,y^2 = 8*x,Expression(H) = (x = -2),Expression(H) = (x = -2),Expression(G),G: Parabola;H: Line;Expression(H) = (x = -2);Directrix(G) = H,2 2 78 78 62 62 62 62 62 62 62 62 62 62 62,2 2 78 78 62 62 62 62 62 62 62 62 62 62 62
6081,Ellipse,Ellipse,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,x^2/16+y^2/12=1,Expression(G) = (x^2/4 - y^2/12 = 1),Expression(G) = (x^2/4 - y^2/12 = 1),Expression(H),G: Hyperbola;Expression(G) = (x^2/4 - y^2/12 = 1);H: Ellipse;Focus(G) = Vertex(H);Vertex(G) = Focus(H),21,21
6085,Hyperbola,Hyperbola,Equation,Equation,False,False,False,failure->failure,False,False,wrong->wrong,no_model,no_model,no_model,no_model,0,0,0,none,none,none,none,0,0,False,0,,,False,"{x^2/18 - y^/8 = 1, y^2/8 - x^2/18 = 1}",,,Expression(G),G: Hyperbola;Expression(Asymptote(G)) = (y = pm*(2/3)*x);FocalLength(G)=2*sqrt(26),,
6087,Hyperbola,Hyperbola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,1,1,1,1,1,1,False,1,,,False,y = pm*sqrt(2)*x,y=pm*sqrt(b^2/a^2)*x,y=pm*sqrt(b^2/a^2)*x,Expression(Asymptote(G)),"G: Hyperbola;a: Number;b: Number;H: Circle;F1: Point;M: Point;F2: Point;l: Line;a>0;b>0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);Expression(H) = (x^2 + y^2 = a^2);LeftFocus(G) = F1;RightFocus(G) = F2;PointOnCurve(F1, l);TangentOfPoint(F1,H)=l;Intersection(l,RightPart(G))=M;AngleOf(F1, M, F2) = ApplyUnit(45,degree)",1,1
6092,Ellipse,Ellipse,Area,Area,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,56,56,13,13,15,15,False,15,,,False,7,33.2475,33.2475,"Area(TriangleOf(P, F1, F2))","C: Ellipse;P: Point;F1: Point;F2: Point;O: Origin;Expression(C) = (x^2/16 + y^2/7 = 1);LeftFocus(C) =F1;RightFocus(C)=F2;PointOnCurve(P, C);Abs(LineSegmentOf(O, P)) = 3",56 56 56 56 56 56 56 56 13 13 13 13 13 13 13,56 56 56 56 56 56 56 56 13 13 13 13 13 13 13
6104,Hyperbola,Hyperbola,Length,Length,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,4*sqrt(3),Length(ImageinaryAxis) not found,Length(ImageinaryAxis) not found,Length(ImageinaryAxis(C)),C: Hyperbola;b: Number;b>0;e:Number;Expression(C) = (x^2/4 - y^2/b^2 = 1);Eccentricity(C) = e ;e= 2,21,21
6136,Ellipse,Ellipse,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,63,54,63,54,1,1,True,0,54,63,False,x^2/18+y^2/9=1,x^2/a^2+y^2/b^2=1,x^2/a^2+y^2/b^2=1,Expression(E),"E: Ellipse;H: Line;A: Point;B: Point;F: Point;a:Number;b:Number;a>b;b>0;Expression(E)=(x^2/a^2+y^2/b^2=1);Coordinate(F) = (3, 0);RightFocus(E) = F;PointOnCurve(F, H);Intersection(H, E) = {A,B};Coordinate(MidPoint(LineSegmentOf(A, B))) = (1,-1)",63,54
6142,Circle,Circle,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,54,54,62,62,15,15,False,15,,,True,(x^2-y^2/8=1)&(x>1),No equation found,No equation found,LocusEquation(P),"M: Point;N: Point;B: Point;Coordinate(M) = (-3, 0);Coordinate(N) = (3, 0);Coordinate(B) = (1, 0);C: Circle;TangentPoint(C, LineOf(M, N)) = B;l1: Line;l2: Line;TangentOfPoint(M, C) = l1;TangentOfPoint(N, C) = l2;Intersection(l1, l2) = P;P: Point",54 54 54 62 62 62 62 62 62 62 62 62 62 62 62,54 54 54 62 62 62 62 62 62 62 62 62 62 62 62
6177,Parabola,Parabola,Value,Value,False,False,True,failure->success,False,True,wrong->correct,max_steps,none,max_steps,none,15,15,0,2,2,29,29,15,15,False,15,,,True,6,"Abs(LineSegmentOf(P, F)) not found",6,"Abs(LineSegmentOf(P, F))","G: Parabola;P: Point;F: Point;Expression(G) = (y^2 = 8*x);Focus(G) = F;PointOnCurve(P, G);XCoordinate(P)=4",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
6184,Parabola,Parabola,Length,Length,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,53,53,62,62,15,15,False,15,,,True,5/2,Max not found,Max not found,"Max(Length(LineSegmentOf(A, B)))","G: Parabola;Expression(G) = (y = x^2);A: Point;B: Point;IsChordOf(LineSegmentOf(A, B), G);Distance(MidPoint(LineSegmentOf(A, B)), xAxis) = 1",53 53 53 53 62 62 62 62 62 62 62 62 62 62 62,53 53 53 53 62 62 62 62 62 62 62 62 62 62 62
6212,Parabola,Parabola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,29,29,29,29,15,15,False,15,,,True,y^2=4*x,y^2=2*p*x,y^2=2*p*x,Expression(C),"C: Parabola;p: Number;F: Point;p>0;Expression(C) = (y^2 = 2*(p*x));Focus(C) = F;Distance(F,Directrix(C)) = 2",29 29 29 29 29 29 29 29 29 29 29 29 29 29 29,29 29 29 29 29 29 29 29 29 29 29 29 29 29 29
6230,Parabola,Parabola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,2,2,29,29,15,15,False,15,,,True,6,sqrt((x1-x2)^2+(y1-y2)^2),sqrt((x1-x2)^2+(y1-y2)^2),"Abs(LineSegmentOf(P, Q))","G: Parabola;Expression(G) = (y^2 = 4*x);l: Line;PointOnCurve(Focus(G), l);P: Point;x1: Number;y1: Number;Coordinate(P) = (x1, y1);Q: Point;x2: Number;y2: Number;Coordinate(Q) = (x2, y2);Intersection(l, G) = {P, Q};x1+x2=4",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
6238,Ellipse,Ellipse,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,63,0,63,63,15,15,True,0,0,,False,x^2/25+y^2/16=1,No equation found,No equation found,Expression(G),"G: Ellipse;SymmetryAxis(G)=axis;Length(MajorAxis(G))+Length(MinorAxis(G))=18;Coordinate(OneOf(Focus(G))) = (3, 0)",63 63 63 63 63 63 63 63 63 63 63 63 63 63 63,0 0 0 0 0 0 0 63 63 63 63 63 63 63 63
6262,Ellipse,Ellipse,Coordinate,Coordinate,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,56,56,13,13,15,15,False,15,,,True,"(pm*5, 0)",Coordinate(P) not found,Coordinate(P) not found,Coordinate(P),"G: Ellipse;Expression(G) = (x^2/25 + y^2/9 = 1);F1: Point;F2: Point;Focus(G) = {F1, F2};P: Point;PointOnCurve(P, G);WhenMin(Distance(P, F1)*Distance(P, F2))",56 13 13 13 13 13 13 13 13 13 13 13 13 13 13,56 13 13 13 13 13 13 13 13 13 13 13 13 13 13
6270,Parabola,Parabola,Coordinate,Coordinate,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,29,29,62,62,15,15,False,15,,,True,"(-2, -1)","Coordinate(MidPoint(InterceptChord(H, G))) not found","Coordinate(MidPoint(InterceptChord(H, G))) not found","Coordinate(MidPoint(InterceptChord(H, G)))",H: Line;Expression(H) = (y = x + 1);G: Parabola;Expression(G) = (y^2 = -2*x),29 29 29 62 62 62 62 62 62 62 62 62 62 62 62,29 29 29 62 62 62 62 62 62 62 62 62 62 62 62
6284,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,2,sqrt(1+b^2/a^2),sqrt(1+b^2/a^2),Eccentricity(G),"G: Hyperbola;b: Number;a: Number;B: Point;F: Point;A: Point;a>0;b>0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);OneOf(Focus(G))=F;OneOf(Endpoint(ImageinaryAxis(G)))=B;Intersection(LineSegmentOf(B,F),OneOf(Asymptote(G)))= A;VectorOf(F, A) = 2*VectorOf(A, B)",21,21
6298,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,24,24,24,24,15,15,False,15,,,True,sqrt(5)/2,sqrt(a^2/b^2+1),sqrt(a^2/b^2+1),Eccentricity(G),"G: Hyperbola;b: Number;a: Number;H: Point;a>0;b>0;Expression(G) = (-x^2/b^2 + y^2/a^2 = 1);Coordinate(H) = (1, 2);PointOnCurve(H, Asymptote(G))",24 24 24 24 24 24 24 24 24 24 24 24 24 24 24,24 24 24 24 24 24 24 24 24 24 24 24 24 24 24
6302,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,True,True,correct->correct,none,none,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,2,2,2,Eccentricity(G),H: Parabola;Expression(H) = (y^2 = 4*x);G: Hyperbola;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a>0;b>0;Focus(H) = RightVertex(G);Expression(OneOf(Asymptote(G))) = (y = sqrt(3)*x),21,21
6327,Hyperbola,Hyperbola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,3*sqrt(2)/4,sqrt(a^2+b^2)/a,sqrt(a^2+b^2)/a,e,"G: Hyperbola;b: Number;a: Number;H: Line;P: Point;F1: Point;e: Number;a>0;b>0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);Expression(H) = (y = x*(b/(3*a)));Intersection(H, LeftPart(G)) = P;LeftFocus(G) = F1;IsPerpendicular(LineSegmentOf(P, F1), xAxis);Eccentricity(G) = e",13,13
6341,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,sqrt(2),sqrt(1+b^2/a^2),sqrt(1+b^2/a^2),Eccentricity(G),"G: Hyperbola;b: Number;a: Number;H: Circle;a>0;b>0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);Expression(H) = (y^2 + (x - sqrt(2))^2 = 1);IsTangent(Asymptote(G),H)",21,21
6352,Hyperbola,Hyperbola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,1,1,1,1,1,1,False,1,,,False,4,p: Number,p: Number,p,"G: Hyperbola;p: Number;H: Parabola;Expression(G) = (x^2/3 - 16*y^2/p^2 = 1);Expression(H) = (y^2 = 2*p*x);PointOnCurve(LeftFocus(G),Directrix(H))",1,1
6357,Hyperbola,Hyperbola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,x^2/4 - y^2/4 = 1,Expression(C1)= (x^2/4 - y^2/1 = 1),Expression(C1)= (x^2/4 - y^2/1 = 1),Expression(C2),C1: Hyperbola;C2: Hyperbola;Vertex(C1) = Vertex(C2);Expression(C1) = (x^2/4 - y^2 = 1);Slope(OneOf(Asymptote(C2))) = 2*Slope(OneOf(Asymptote(C1))),21,21
6365,Ellipse,Ellipse,Equation,Equation,False,True,True,success->success,True,True,correct->correct,none,none,none,none,1,1,0,62,62,62,62,1,1,False,1,,,False,y^2/4+x^2=1,x^2+y^2/4=1,x^2+y^2/4=1,Expression(G),"G: Ellipse;b: Number;a: Number;A: Point;H:LineSegment;a > b;b > 0;Expression(G) = (x^2/b^2 + y^2/a^2 = 1);Coordinate(A) = (1, 0);RightVertex(G)=A;PointOnCurve(Focus(G),H);IsPerpendicular(H,MajorAxis(G));Length(H)=1;IsChordOf(l,G)",62,62
6384,Hyperbola,Hyperbola,Equation,Equation,False,False,False,failure->failure,False,False,wrong->wrong,no_model,no_model,no_model,no_model,0,0,0,none,none,none,none,0,0,False,0,,,False,y^2/4-x^2=1,,,Expression(G),"H: Point;Coordinate(H) = (sqrt(3), 4);PointOnCurve(H, G);G: Hyperbola;Expression(Asymptote(G)) = (2*x + pm*y = 0)",,
